token,token_id,p_mixture_first_token,total_count_in_window,count_at_pos0,frac_of_occurrences_at_pos0,p_token_at_pos0
the,85,0.22888341546058655,89331.0,9749.0,0.10913344751542017,0.19315660168013948
dear,1638,0.19331128895282745,10531.0,10131.0,0.9620169024783971,0.2007251545411317
once,762,0.12444387376308441,10800.0,10572.0,0.9788888888888889,0.20946267237280075
one,208,0.03704637661576271,14018.0,1222.0,0.08717363389927237,0.02421144396893327
in,108,0.03155476227402687,36086.0,2458.0,0.06811505847142936,0.048700269456332226
under,394,0.026834668591618538,4584.0,1389.0,0.3030104712041885,0.027520209224916787
a,32,0.022284166887402534,132419.0,1272.0,0.009605872269085252,0.025202092249167855
suddenly,443,0.013673555105924606,734.0,594.0,0.8092643051771117,0.011768901569186876
unexpectedly,3692,0.011741642840206623,117.0,117.0,1.0,0.0023181169757489303
mysterious,2367,0.010126535780727863,269.0,156.0,0.5799256505576208,0.003090822634331907
through,364,0.008859115652740002,2499.0,337.0,0.13485394157663066,0.006676969408781107
curious,757,0.00846303440630436,1525.0,236.0,0.15475409836065573,0.004675859882707243
on,139,0.008119284175336361,9373.0,513.0,0.05473167609089939,0.010164051355206847
bright,289,0.007638203911483288,8415.0,439.0,0.05216874628639335,0.008697891900459661
an,201,0.006709246896207333,3449.0,213.0,0.061757031023485065,0.004220161673799334
quietly,1592,0.006520379800349474,720.0,562.0,0.7805555555555556,0.011134886669836742
odd,2854,0.006399156525731087,142.0,79.0,0.5563380281690141,0.001565224282770645
balloons,2858,0.006356089375913143,298.0,108.0,0.3624161073825503,0.0021398002853067048
beneath,1227,0.005020751617848873,287.0,144.0,0.5017421602787456,0.0028530670470756064
amidst,3064,0.004803773015737534,147.0,147.0,1.0,0.0029125059438896814
timid,3181,0.004694673698395491,132.0,130.0,0.9848484848484849,0.002575685528609922
fluffy,2209,0.004083829931914806,499.0,111.0,0.22244488977955912,0.00219923918212078
clouds,820,0.004072240553796291,2726.0,153.0,0.05612619222303742,0.003031383737517832
above,880,0.004008909221738577,895.0,177.0,0.19776536312849163,0.003506894912030433
calmly,3872,0.003787240944802761,81.0,81.0,1.0,0.0016048502139800285
le,272,0.003664635354653001,268.0,118.0,0.44029850746268656,0.0023379299413536217
bounc,3532,0.003661409253254533,133.0,88.0,0.6616541353383458,0.0017435409732128706
timidly,3891,0.0036493546795099974,321.0,321.0,1.0,0.006359961959106039
curiously,3175,0.003564266487956047,149.0,148.0,0.9932885906040269,0.002932318909494373
wh,154,0.0034555792808532715,211.0,118.0,0.5592417061611374,0.0023379299413536217
