cluster,class,rank,token,n_rollouts_driven,mean_delta_gamma,p_v_given_i,pmi,early_frac,drive_frac
cluster-0,triggered,0,things,1,0.4266059201845825,0.0013074813444734993,1.1516565502502285,0.03669724770642202,1.0
cluster-0,triggered,1,amazing,1,0.22602941866574777,0.00021525607500478338,0.3077797518868657,0.32075471698113206,1.0
cluster-1,behavioural,0,in,1,0.1747045175790195,0.014985364488379047,0.39133434869254735,0.16242864556305137,0.125
cluster-1,behavioural,1,bright,1,0.5181480372427743,0.0023634504822138687,0.36170525269533993,0.17792421746293247,0.125
cluster-1,behavioural,2,under,1,0.49882488870356373,0.0014965928217966114,0.34359529183971027,0.2630208333333333,0.125
cluster-1,behavioural,3,before,1,0.3087230942149151,0.00028765680211155644,0.28257854251264547,0.0273972602739726,0.125
cluster-1,behavioural,4,through,1,0.7026969832403713,0.002561700440425887,0.2752176852185704,0.25379939209726443,0.125
cluster-1,behavioural,5,eagerly,1,0.4185900190568628,0.00016715192555130984,0.20711838898543,0.42857142857142855,0.125
cluster-1,behavioural,6,a,1,0.0765114552998834,0.04502217678454117,0.16528563445860733,0.11302996287021846,0.125
cluster-1,behavioural,7,little,1,0.16006074565993045,0.0020991172045978445,0.1234740185437051,0.1391465677179963,0.125
cluster-1,behavioural,8,mysterious,1,0.3492758126061482,0.00010884311431248072,-0.3029226133201419,0.48148148148148145,0.125
cluster-1,behavioural,9,edge,1,0.22693500421184126,0.0002293479908727274,-0.4027353699453675,0.39655172413793105,0.125
cluster-1,behavioural,10,at,1,0.20313452531171677,0.0013177791339975358,-0.5942758437529125,0.08284023668639054,0.125
cluster-2,behavioural,0,once,1,0.291945928526024,0.0024543635715061187,1.2693534468545664,0.060126582278481014,0.14285714285714285
cluster-2,behavioural,1,heart,1,0.06754455207846422,0.004699350155869537,0.8850378865030395,0.00990916597853014,0.14285714285714285
cluster-2,behavioural,2,amidst,1,0.3921985245386809,0.0001744808226189183,0.6683468713376666,0.8863636363636364,0.14285714285714285
cluster-2,behavioural,3,boy,1,0.08620480421820068,0.004493850520340585,0.5220518582358711,0.20379965457685664,0.14285714285714285
cluster-2,behavioural,4,quietly,1,0.2775370296435187,0.00025202785489399326,0.3365891745927687,0.703125,0.14285714285714285
cluster-2,behavioural,5,the,1,0.20756262115231386,0.05892798982582938,0.2772876666883315,0.09587418569454498,0.14285714285714285
cluster-2,behavioural,6,climbed,1,0.27378746608794513,0.0004458954355816802,0.11034355351781233,0.08771929824561403,0.14285714285714285
cluster-2,behavioural,7,small,1,0.13558923373043236,0.0010856584518510479,0.00911448476789456,0.24372759856630824,0.14285714285714285
cluster-2,behavioural,8,mysterious,1,0.5158996946418881,0.00013570730648138107,-0.07499005374613432,0.4117647058823529,0.14285714285714285
cluster-2,behavioural,9,near,1,0.6216218960191564,0.0001899902290739333,-0.40946526886588686,0.3333333333333333,0.14285714285714285
cluster-3,triggered,0,down,1,0.126916486920635,0.0015519816866160982,0.37705917927228505,0.045112781954887216,0.5
cluster-3,triggered,1,bright,1,0.11488143175484808,0.0017847789396085122,0.08031720505658235,0.4749455337690632,0.5
cluster-3,triggered,2,a,1,0.16893543822485496,0.039893689254466805,0.04430787517714352,0.16836883571637,0.5
cluster-3,triggered,3,among,1,0.32169856466301977,9.699885541350618e-05,-1.1508536159875469,0.625,0.5
cluster-3,triggered,4,shone,1,0.08218154341347464,5.043940481502318e-05,-1.4990042674997301,0.3333333333333333,0.5
cluster-4,behavioural,0,ocean,1,0.5239211282575017,0.0002838236094587133,0.6350827717831464,0.18055555555555555,0.5
cluster-4,behavioural,1,a,1,0.36133857409663567,0.040419592382640875,0.05743824874159609,0.12833092833092832,0.5
