t,n_prefixes,absurdist,epistolary,scientific_explainer,fairy_tale,noir_detective
0,0,,,,,
1,200,0.26633235081979423,0.19418387425896605,0.1834121721034776,0.11718700418215561,0.2388845986354383
2,200,0.06027884867038729,0.2703559039692537,0.30173533138401504,5.544907854061784e-06,0.36762437106842855
3,200,0.47308112680071035,8.428979031966454e-05,0.2831188537411904,0.015388002290317114,0.2283277273774479
4,200,0.17979684041649996,0.38397548981303775,0.046158849386961784,0.018703402560285083,0.3713654178232475
5,200,0.3870197214575372,0.20856295334674452,0.03680675743838804,0.005794344463021175,0.3618162232942506
6,200,0.19879990495595284,0.1335323672671989,0.1624087185273568,0.1510380027914792,0.3542210064579888
7,200,0.2920481878441077,0.22661266474902306,0.11190302086873681,0.048480212046108896,0.32095591449202865
8,200,0.2287328894255763,0.19557417056377324,0.07438309163432638,0.18111006679917246,0.32019978157712436
9,200,0.21864504978775406,0.0889247028848081,0.08024412654264158,0.26600119981765363,0.3461849209671181
10,200,0.2308623428238548,0.15884737271422175,0.031057051660908032,0.2596246571622388,0.31960857563877654
11,200,0.2790367571309728,0.1452778372192486,0.1037059698021838,0.07460628929842425,0.3973731465491452
12,200,0.2540350086440151,0.0949722273662354,0.03254680412751555,0.21740047851289326,0.4010454813493238
13,200,0.22789382495959362,0.2175369424426837,0.06848160519159117,0.12043664241436272,0.3656509849917592
14,200,0.18989756775930358,0.1602737425979631,0.11960181164768047,0.16233998283358356,0.36788689516146134
15,200,0.1659078632274876,0.15409525950643055,0.13111753523942093,0.18844487692883138,0.3604344650978287
16,200,0.2535949676832219,0.12181476416944366,0.13569889944133612,0.1357873301333529,0.3531040385726216
17,200,0.19019882938985086,0.11499967413413703,0.11967961397379884,0.22286020631266965,0.3522616761895185
18,200,0.1847935274991356,0.146931982885275,0.0683893955524641,0.26366683559783943,0.3362182584652578
19,200,0.1613962064452659,0.13425725627896923,0.15701576763461894,0.1170451929066749,0.43028557673445944
20,200,0.17601458019878802,0.16589997585455257,0.08881488580589907,0.15140484662331405,0.4178657115174173
21,200,0.2056203216856818,0.13238887823648499,0.1171906884887892,0.14879357271934354,0.3960065388696864
22,200,0.19997817605671742,0.17580670491688696,0.11917101026627602,0.10569784524648448,0.39934626351362557
23,200,0.1828508371223035,0.10156515000005725,0.21943364132691534,0.07381343533418917,0.42233693621650265
24,200,0.22646875647297457,0.11590427089611582,0.17836566632674727,0.08265367773915704,0.3966076285649965
25,200,0.1612039326785816,0.11829372341158963,0.19457498520545624,0.11024057799025098,0.4156867807140818
26,200,0.198758914468814,0.1221022477809518,0.11826576536928879,0.1622928592164183,0.39858021316453146
27,200,0.1719059908657433,0.16364031042727267,0.13182626736061015,0.1682778268829246,0.3643496044634393
28,200,0.20843092304042687,0.11364434487984626,0.12462898326387621,0.19166125083080374,0.36163449798503894
29,200,0.20809717930302327,0.10836731167378766,0.0924860181341285,0.22761596179022844,0.36343352909882287
30,200,0.1981840354077808,0.10748874443367953,0.17179277545450541,0.12316769966189313,0.3993667450421334
31,200,0.18686317256381269,0.11743462899383023,0.20715815928683523,0.12480811805934422,0.3637359210961328
