cluster,class,phrase_text,n_rollouts_driven,span_len,mean_delta_gamma,p_phrase_given_i,phrase_pmi,drive_frac
cluster-0,triggered,before the,1,2,0.1722495692639943,0.012,0.7985076962177713,0.045454545454545456
cluster-0,triggered,clouds floated in,1,3,0.18687999613963827,0.007,0.028987536873252395,0.045454545454545456
cluster-0,triggered,named alice had,1,3,0.23928800618815002,0.0005,0.0,0.045454545454545456
cluster-0,triggered,amazing things,1,2,0.32631808070939583,0.0005,-0.182321556793954,0.045454545454545456
cluster-0,triggered,sunny day,1,2,0.14067669922491233,0.041,-0.25483127215994594,0.045454545454545456
cluster-0,triggered,sun rose,1,2,0.17586042881958003,0.003,-0.9682504708048665,0.045454545454545456
cluster-0,triggered,named leo woke,1,3,0.06911873871593714,0.0005,-1.09861228866811,0.045454545454545456
cluster-1,behavioural,young boy picked,1,3,0.10697490195533936,0.001,1.6094379124341014,0.017857142857142856
cluster-1,behavioural,a gentle,1,2,0.34199171567154646,0.1555,1.4064314494866332,0.017857142857142856
cluster-1,behavioural,in a little,1,3,0.13709237023767312,0.015,1.203972804325936,0.017857142857142856
cluster-1,behavioural,the warm,1,2,0.3115582548155025,0.0335,1.199010014983807,0.017857142857142856
cluster-1,behavioural,sun rose,1,2,0.36501718681919804,0.0245,1.1318103580777055,0.017857142857142856
cluster-1,behavioural,bright flowers bloomed,1,3,0.13708954157047967,0.003,0.9162907318741551,0.017857142857142856
cluster-1,behavioural,with the,1,2,0.1791364768529167,0.109,0.7042174043141922,0.017857142857142856
cluster-1,behavioural,a boy,1,2,0.12367273883967658,0.406,0.6209410862027621,0.017857142857142856
cluster-1,behavioural,beside a,1,2,0.13970920916466606,0.017,0.5610874585468792,0.017857142857142856
cluster-1,behavioural,a river,1,2,0.3072019251185193,0.005,0.5108256237659914,0.017857142857142856
cluster-1,behavioural,under a,1,2,0.21710348147059552,0.0525,0.443315332239262,0.017857142857142856
cluster-1,behavioural,hill in,1,2,0.2729340358315412,0.0005,0.2231435513142097,0.017857142857142856
cluster-2,behavioural,a girl stepped,1,3,0.2313839042760815,0.0045,1.6094379124341005,0.011904761904761904
cluster-2,behavioural,quiet sea,1,2,0.38826948324102345,0.0005,1.6094379124340996,0.011904761904761904
cluster-2,behavioural,a dark,1,2,0.37429916536304064,0.1195,1.3269996904883303,0.011904761904761904
cluster-2,behavioural,"once,",1,2,0.3753401473061685,0.0575,1.2917750077703838,0.011904761904761904
cluster-2,behavioural,a lonely,1,2,0.371528514085513,0.02,1.2552660987134865,0.011904761904761904
cluster-2,behavioural,climbed the,1,2,0.3697760401087169,0.032,0.9320390888422945,0.011904761904761904
cluster-2,behavioural,boy climbed,1,2,0.1799961350916279,0.0025,0.9162907318741551,0.011904761904761904
cluster-2,behavioural,the heart,1,2,0.1375542475822224,0.041,0.7958013346200286,0.011904761904761904
cluster-2,behavioural,a girl,1,2,0.14528001231816423,0.461,0.6248197509654159,0.011904761904761904
cluster-2,behavioural,a quiet,1,2,0.32141238585980036,0.0255,0.2379586370993505,0.011904761904761904
cluster-2,behavioural,bright lights,1,2,0.2531702949495105,0.001,-1.5686159179138448,0.011904761904761904
cluster-3,triggered,a bright,1,2,0.13791753797871112,0.113,0.6583610644745299,0.14285714285714285
cluster-3,triggered,tall trees,1,2,0.17980714226358138,0.008,-0.9162907318741556,0.14285714285714285
cluster-3,triggered,shone down,1,2,0.1045487536396833,0.001,-1.252762968495368,0.14285714285714285
cluster-3,triggered,shone over,1,2,0.1078076332618477,0.0,-inf,0.14285714285714285
cluster-4,behavioural,a group,1,2,0.255813090748372,0.227,1.2292529609990144,0.03225806451612903
cluster-4,behavioural,tall grass,1,2,0.3329718796546155,0.058,1.1982421296169505,0.03225806451612903
cluster-4,behavioural,a mountain,1,2,0.19534136651031056,0.0135,0.9932517730102832,0.03225806451612903
cluster-4,behavioural,small pond,1,2,0.1259984808160586,0.0015,0.916290731874156,0.03225806451612903
cluster-4,behavioural,under the bright,1,3,0.2298347874657752,0.0285,0.8322076146636133,0.03225806451612903
cluster-4,behavioural,the bright,1,2,0.293028907042663,0.0475,0.6620565934899143,0.03225806451612903
cluster-4,behavioural,across the,1,2,0.1906637307548121,0.059,0.563011376936561,0.03225806451612903
cluster-4,behavioural,the sun,1,2,0.2751211425262716,0.146,0.3774369353871616,0.03225806451612903
cluster-4,behavioural,a bright,1,2,0.19215418517334068,0.058,-0.008583743691391366,0.03225806451612903
cluster-4,behavioural,had a,1,2,0.07679600219334412,0.091,-0.2581287647006363,0.03225806451612903
cluster-4,behavioural,with a twinkle,1,3,0.2341284266368248,0.0035,-0.35667494393873245,0.03225806451612903
cluster-4,behavioural,sea shimmered,1,2,0.19434493747047732,0.0,-inf,0.03225806451612903
