rollout,tau_gamma,tau_eta,winner_gamma,winner_eta,mean_l1_eta_gamma
0,1.0,1.0,epistolary,epistolary,0.0010624435248476048
1,1.0,5.0,scientific_explainer,absurdist,0.19682484623351312
2,1.0,2.0,noir_detective,noir_detective,0.02373828162594073
3,1.0,2.0,noir_detective,noir_detective,0.013916649573412692
4,1.0,2.0,noir_detective,noir_detective,0.023677369609068924
5,1.0,6.0,scientific_explainer,absurdist,0.049503853617467494
6,1.0,1.0,epistolary,epistolary,0.0032730389264028536
7,1.0,2.0,noir_detective,noir_detective,0.013211470036957409
8,1.0,1.0,epistolary,epistolary,0.1761252609039707
9,1.0,1.0,epistolary,epistolary,0.010132130187674792
10,1.0,2.0,noir_detective,noir_detective,0.02351698007044668
11,1.0,1.0,epistolary,epistolary,0.0014929343130753985
12,1.0,2.0,absurdist,base,0.15033573337098655
13,1.0,1.0,epistolary,epistolary,0.0011776566997233138
14,1.0,1.0,fairy_tale,fairy_tale,0.002640814562915335
15,1.0,4.0,absurdist,absurdist,0.10898632152328502
16,1.0,1.0,epistolary,epistolary,0.048547512584571
17,1.0,1.0,fairy_tale,fairy_tale,0.0026133869617879536
18,2.0,2.0,absurdist,absurdist,0.017836933049244195
19,1.0,2.0,noir_detective,noir_detective,0.01689474936993311
20,1.0,2.0,noir_detective,noir_detective,0.02381066722179433
21,1.0,2.0,scientific_explainer,fairy_tale,0.6032109355557493
22,1.0,1.0,fairy_tale,fairy_tale,0.0026703678428358917
23,1.0,2.0,noir_detective,noir_detective,0.013904425334190987
24,1.0,2.0,noir_detective,noir_detective,0.023855143768710937
25,1.0,3.0,absurdist,absurdist,0.017341958406381825
26,1.0,4.0,scientific_explainer,fairy_tale,1.141883964674998
27,1.0,1.0,epistolary,epistolary,0.001203592826317918
28,1.0,1.0,epistolary,epistolary,0.0024583273831733613
29,1.0,1.0,fairy_tale,fairy_tale,0.0026564373842887373
30,1.0,2.0,noir_detective,noir_detective,0.02473597330261477
31,1.0,2.0,noir_detective,noir_detective,0.023995888729119914
32,1.0,1.0,fairy_tale,fairy_tale,0.0027024185282110385
33,1.0,2.0,noir_detective,noir_detective,0.024230677611446167
34,1.0,2.0,noir_detective,noir_detective,0.023432698726791427
35,1.0,2.0,noir_detective,noir_detective,0.014097994117508277
36,1.0,1.0,fairy_tale,fairy_tale,0.002584522308865777
37,1.0,1.0,epistolary,epistolary,0.0018920543421065015
38,1.0,1.0,fairy_tale,fairy_tale,0.00262644603275936
39,1.0,1.0,fairy_tale,fairy_tale,0.0027621621302116655
40,1.0,1.0,epistolary,epistolary,0.0019320745781595213
41,1.0,1.0,absurdist,absurdist,0.13645306153038658
42,1.0,2.0,noir_detective,noir_detective,0.024050262620152748
43,2.0,2.0,absurdist,base,0.13823555732022605
44,1.0,2.0,scientific_explainer,fairy_tale,0.6663475577630985
45,1.0,2.0,noir_detective,noir_detective,0.023142229586374848
46,1.0,2.0,noir_detective,noir_detective,0.023384003140979517
47,1.0,3.0,absurdist,absurdist,0.03437741835123893
48,1.0,2.0,noir_detective,noir_detective,0.013504763093132477
49,1.0,1.0,fairy_tale,fairy_tale,0.0025183576781039473
50,1.0,2.0,noir_detective,noir_detective,0.01806192875588714
51,1.0,1.0,scientific_explainer,scientific_explainer,0.016389613852478915
52,1.0,2.0,scientific_explainer,fairy_tale,0.3700984526730349
53,2.0,4.0,absurdist,base,0.5199897603982045
54,1.0,9.0,absurdist,scientific_explainer,0.9739605315257575
55,1.0,1.0,epistolary,epistolary,0.0031900575965863216
56,1.0,2.0,noir_detective,noir_detective,0.023876693789959325
57,1.0,2.0,noir_detective,noir_detective,0.014356201190279564
58,1.0,2.0,scientific_explainer,fairy_tale,0.08176512814573753
59,1.0,2.0,noir_detective,noir_detective,0.02299027996547423
60,1.0,2.0,noir_detective,noir_detective,0.013603722469428713
61,1.0,1.0,epistolary,epistolary,0.2598747870106973
62,1.0,1.0,epistolary,epistolary,0.003325356443649071
63,1.0,1.0,fairy_tale,fairy_tale,0.014218211867930998
64,1.0,1.0,epistolary,epistolary,0.0015310446367586125
65,1.0,2.0,noir_detective,noir_detective,0.013725152686786627
66,1.0,2.0,noir_detective,noir_detective,0.01381341938107262
67,1.0,2.0,noir_detective,noir_detective,0.023528611113367626
68,1.0,1.0,fairy_tale,fairy_tale,0.3519001081292603
69,1.0,2.0,noir_detective,noir_detective,0.0240430100749195
