component,rank,token_id,token,count,p
absurdist,0,13,",",16143,0.06257121816983836
absurdist,1,32,a,15346,0.059482190612766946
absurdist,2,3,"""",14125,0.054749815898608584
absurdist,3,85,the,11641,0.04512228208208984
absurdist,4,15,.,9815,0.03804503701406922
absurdist,5,93,to,4808,0.01863881244912988
absurdist,6,94,and,3921,0.015200961203054145
absurdist,7,30,?,3472,0.013460718576799346
absurdist,8,120,it,3425,0.013278555094763764
absurdist,9,115,of,3042,0.011794116507112125
absurdist,10,60,##s,2819,0.010929808922134805
absurdist,11,2,!,2765,0.010720514708732223
epistolary,0,15,.,18680,0.07240164484010868
epistolary,1,40,i,16709,0.06476267251636507
epistolary,2,13,",",11065,0.042888314426456964
epistolary,3,164,you,7416,0.028745945066061027
epistolary,4,120,it,6652,0.02578492281576163
epistolary,5,32,a,6615,0.025641522523535094
epistolary,6,85,the,6342,0.02458346090791763
epistolary,7,2,!,5904,0.02288591150264128
epistolary,8,93,to,5725,0.02219216414295071
epistolary,9,1638,dear,5188,0.020110922063879016
epistolary,10,30,?,4439,0.01720803506718498
epistolary,11,269,can,3417,0.013247086454873479
scientific_explainer,0,15,.,16860,0.06534840727548959
scientific_explainer,1,85,the,13137,0.05091912548397974
scientific_explainer,2,13,",",10997,0.042625098346232994
scientific_explainer,3,32,a,8889,0.034455094044190886
scientific_explainer,4,93,to,6109,0.023680610192351664
scientific_explainer,5,94,and,4786,0.018553041078688614
scientific_explainer,6,106,she,4402,0.01706476705023313
scientific_explainer,7,259,this,4054,0.015716018711945338
scientific_explainer,8,103,he,3631,0.014076591852474842
scientific_explainer,9,1703,because,3595,0.01393706616230713
scientific_explainer,10,149,that,3305,0.012813109213733975
scientific_explainer,11,334,when,3216,0.01246817070193049
fairy_tale,0,13,",",16743,0.06489444575787055
fairy_tale,1,15,.,15228,0.05902278514372971
fairy_tale,2,32,a,14931,0.0578717071223437
fairy_tale,3,85,the,11631,0.045081951329165676
fairy_tale,4,94,and,6386,0.024753990985160013
fairy_tale,5,93,to,6314,0.0244749417678543
fairy_tale,6,111,they,5056,0.0195993318321519
fairy_tale,7,108,in,4145,0.016068584096520025
fairy_tale,8,385,named,3255,0.012619225715935647
fairy_tale,9,106,she,2714,0.01052248090256919
fairy_tale,10,127,was,2550,0.009886868796483978
fairy_tale,11,103,he,2452,0.009507051806262334
noir_detective,0,15,.,25555,0.09904696940922954
noir_detective,1,32,a,12974,0.05028699436863177
noir_detective,2,85,the,12842,0.04977540413690464
noir_detective,3,13,",",9976,0.038667695014708216
noir_detective,4,40,i,9440,0.03659032861921022
noir_detective,5,127,was,5737,0.022238672345834997
noir_detective,6,108,in,4316,0.016731325987621073
noir_detective,7,240,like,3007,0.011658056189660447
noir_detective,8,120,it,2697,0.010456594281816455
noir_detective,9,106,she,2641,0.0102395560016898
noir_detective,10,115,of,2562,0.009933376999368262
noir_detective,11,165,had,2230,0.008646650052903082
base,0,15,.,9434,0.07260987679023558
base,1,13,",",7420,0.05711053478116992
base,2,85,the,6773,0.05213135192125658
base,3,32,a,5330,0.04102631194157348
base,4,3,"""",3323,0.02558084053531988
base,5,94,and,2660,0.020478524868979
base,6,106,she,2506,0.019293371607114
base,7,93,to,2420,0.018631532772566014
base,8,103,he,2414,0.01858535797015569
base,9,120,it,1681,0.012944336275694352
base,10,115,of,1650,0.012705766463241008
base,11,117,her,1529,0.01177457461463279
