rollout,winner,class,tau,t,is_precommit,token_id,token,delta_gamma,is_content,p_v_given_i,count_i,p_v,pmi_v_i,early_frac,pos_peak_share,specialist_loglik_margin
0,cluster-2,behavioural,3,2,True,85,the,0.20756322537671335,True,0.05892798982582938,15197.0,0.04536171596483367,0.2772876666883315,0.09587418569454498,0.027242218858985326,-1.1529296073545547
0,cluster-2,behavioural,3,3,True,203,heart,0.06754526978773145,True,0.004699350155869537,1211.0,0.001968489885911656,0.8850378865030395,0.00990916597853014,0.016515276630883566,-1.2512370402607913
0,cluster-2,behavioural,3,6,False,658,city,0.5089560803242463,True,0.0034198241233307993,881.0,0.0007288647079584254,1.5604276122949923,0.043132803632236094,0.028376844494892167,-0.030363083637609867
0,cluster-2,behavioural,3,13,False,32,a,0.05800919633845236,True,0.0412899173348636,10648.0,0.038765450702493924,0.07870079231135296,0.11363636363636363,0.030334335086401203,-1.2887381246876697
0,cluster-2,behavioural,3,14,False,2519,swing,0.28737073149614356,True,0.00010856584518510475,27.0,0.00010151760894306687,0.04646271079921327,0.0,0.14814814814814814,-2.4740037680294176
0,cluster-2,behavioural,3,17,False,661,watched,0.07747991280981315,True,0.00026365990973525465,67.0,0.0002966217636305235,-0.11690706930906636,0.014925373134328358,0.08955223880597014,-1.0513194351158632
1,cluster-1,behavioural,3,1,True,108,in,0.17470464798830032,True,0.014985364488379047,3854.0,0.010290554500283535,0.39133434869254735,0.16242864556305137,0.04929942916450441,-0.9816171687003163
1,cluster-1,behavioural,3,2,True,32,a,0.07651128697597581,True,0.04502217678454117,11581.0,0.038765450702493924,0.16528563445860733,0.11302996287021846,0.02987652188930144,-1.4135484033358183
1,cluster-1,behavioural,3,3,True,611,little,0.16006117574874323,True,0.0020991172045978445,539.0,0.001881248190726208,0.1234740185437051,0.1391465677179963,0.059369202226345084,-1.8010565820862667
1,cluster-1,behavioural,3,4,False,712,village,0.1714728775416443,True,0.0017531515912474586,450.0,0.0007605889607531337,0.8486037156332511,0.19777777777777777,0.09333333333333334,-1.038805739600924
