cluster,class,rank,token,n_rollouts_driven,mean_delta_gamma,p_v_given_i,pmi,early_frac,drive_frac
cluster-0,triggered,0,the,6,0.22365768660494198,0.035353817207730086,-0.23322452716433428,0.15539016689219667,0.2727272727272727
cluster-0,triggered,1,named,6,0.15444306461270615,0.0015067925250334838,-1.0604953766803167,0.27586206896551724,0.2727272727272727
cluster-0,triggered,2,sunny,5,0.16203044414063242,0.0004703743861215638,-0.5006897567456425,0.49572649572649574,0.22727272727272727
cluster-0,triggered,3,in,5,0.18041615891718116,0.005736175776516361,-0.5689785066938597,0.3379694019471488,0.22727272727272727
cluster-0,triggered,4,they,4,0.20485788336343067,0.02759662606033548,0.527184687183281,0.0013002022536839064,0.18181818181818182
cluster-0,triggered,5,girl,4,0.10559438909306536,0.0011759359653039094,-1.0426520088654971,0.22789115646258504,0.18181818181818182
cluster-0,triggered,6,he,3,0.1934435028027958,0.009543019325212069,-0.11310600524365544,0.001671541997492687,0.13636363636363635
cluster-0,triggered,7,on,3,0.39340152129142214,0.003085337075068562,-0.25337183317610545,0.17852522639068563,0.13636363636363635
cluster-0,triggered,8,two,2,0.4987920985958825,0.0007693411569615412,1.0564055578035028,0.4583333333333333,0.09090909090909091
cluster-0,triggered,9,were,2,0.2027358928742357,0.005297691179284392,0.7229714312986566,0.14759036144578314,0.09090909090909091
cluster-0,triggered,10,alex,2,0.26264902396834056,0.003818802219529307,0.6598079471239968,0.04911180773249739,0.09090909090909091
cluster-0,triggered,11,leo,2,0.22077451929497874,0.003866636902863702,0.4675773558495546,0.07120743034055728,0.09090909090909091
cluster-0,triggered,12,how,2,0.09682084793568146,0.0010204732444671217,0.45788567830819193,0.0,0.09090909090909091
cluster-0,triggered,13,happily,2,0.2626974031996276,0.00021126985139358377,0.3141782225773362,0.7307692307692307,0.09090909090909091
cluster-0,triggered,14,at,2,0.511564508195059,0.003037502391734166,0.24285707393266787,0.1314060446780552,0.09090909090909091
cluster-0,triggered,15,was,2,0.25511721013623856,0.010320332929396011,0.230398025165087,0.07148377125193199,0.09090909090909091
cluster-0,triggered,16,timidly,2,0.32406795904414876,3.986223611199696e-05,0.13913778628151974,1.0,0.09090909090909091
cluster-0,triggered,17,had,2,0.4716207436203191,0.005022641750111612,0.024377583250661417,0.03177124702144559,0.09090909090909091
cluster-0,triggered,18,his,2,0.19937159551344774,0.0031969513361821533,-0.36994474614936834,0.0149812734082397,0.09090909090909091
cluster-0,triggered,19,quietly,2,0.4027533385246808,0.00011958670833599082,-0.4268615244356919,0.7931034482758621,0.09090909090909091
cluster-1,behavioural,0,a,25,0.1474291257482412,0.04502217678454117,0.16528563445860733,0.11302996287021846,0.44642857142857145
cluster-1,behavioural,1,the,22,0.20323672428215184,0.05475197375326044,0.2038201270674933,0.09791252485089463,0.39285714285714285
cluster-1,behavioural,2,in,17,0.23631065858232173,0.014985364488379047,0.39133434869254735,0.16242864556305137,0.30357142857142855
cluster-1,behavioural,3,and,13,0.14173500464105315,0.0220290688860296,0.18746478279189205,0.0037063183903988705,0.23214285714285715
cluster-1,behavioural,4,to,9,0.21129530803954197,0.019090304799592617,0.11713730350915119,0.009368635437881873,0.16071428571428573
cluster-1,behavioural,5,it,9,0.18276709694933813,0.007615130747791068,-0.23502675816326057,0.0010214504596527069,0.16071428571428573
cluster-1,behavioural,6,through,8,0.31830830487178813,0.002561700440425887,0.2752176852185704,0.25379939209726443,0.14285714285714285
cluster-1,behavioural,7,filled,7,0.31214656270418967,0.003401347322265026,0.5872180727978327,0.09038901601830664,0.125
cluster-1,behavioural,8,under,7,0.34355837912976234,0.0014965928217966114,0.34359529183971027,0.2630208333333333,0.125
