rollout,tau_gamma,tau_beta,winner_gamma,winner_beta,mean_l1_beta_gamma
0,3.0,2.0,cluster-2,cluster-4,0.11117997299286453
1,3.0,2.0,cluster-1,cluster-3,0.8046533726368924
2,1.0,2.0,cluster-4,cluster-4,0.8499797300801109
3,1.0,2.0,cluster-2,cluster-2,0.7158529727642734
4,4.0,5.0,cluster-2,cluster-3,1.0364385551733468
5,1.0,1.0,cluster-1,cluster-1,0.42480895912670297
6,1.0,3.0,cluster-3,cluster-1,0.24733267084438929
7,1.0,1.0,cluster-2,cluster-2,1.6533611729460131
8,1.0,2.0,cluster-1,cluster-4,1.1236277911255692
9,2.0,1.0,cluster-0,cluster-4,1.6431779272708038
10,5.0,1.0,cluster-2,cluster-2,1.8780448161550831
11,1.0,7.0,cluster-2,cluster-1,1.8227225915724026
12,1.0,1.0,cluster-1,cluster-2,0.08411462681857483
13,1.0,6.0,cluster-1,cluster-1,0.22776099612188322
14,1.0,1.0,cluster-1,cluster-4,0.44881511038424826
15,3.0,1.0,cluster-4,cluster-0,0.4678862562551712
16,1.0,2.0,cluster-1,cluster-0,0.5436378086885515
17,2.0,2.0,cluster-2,cluster-2,0.04418626149668175
18,7.0,2.0,cluster-3,cluster-4,1.8482269495516137
19,3.0,2.0,cluster-1,cluster-0,0.8283753044054902
20,1.0,1.0,cluster-2,cluster-2,0.2513833402739492
21,1.0,1.0,cluster-1,cluster-4,0.42440891591608937
22,1.0,3.0,cluster-1,cluster-1,0.2531654392015457
23,1.0,2.0,cluster-2,cluster-4,1.5371563363119856
24,1.0,2.0,cluster-1,cluster-1,1.2317514373171776
25,1.0,3.0,cluster-1,cluster-3,0.41988283626849443
26,1.0,2.0,cluster-2,cluster-4,0.0409761168845428
27,3.0,1.0,cluster-3,cluster-1,0.8349897786737934
28,1.0,2.0,cluster-2,cluster-3,0.0936617592056859
29,2.0,6.0,cluster-2,cluster-2,1.6648187878903151
30,3.0,4.0,cluster-4,cluster-4,0.6973388652376658
31,2.0,2.0,cluster-0,cluster-0,0.5832361920665468
32,1.0,2.0,cluster-4,cluster-2,0.2346148962778268
33,1.0,3.0,cluster-2,cluster-0,1.0240330130676718
34,4.0,5.0,cluster-4,cluster-4,0.3875948235692609
35,7.0,4.0,cluster-4,cluster-1,0.9922129983113842
36,1.0,1.0,cluster-3,cluster-4,0.07813040648617393
37,5.0,2.0,cluster-4,cluster-0,0.3608150753681705
38,4.0,3.0,cluster-3,cluster-1,0.11594597195786559
39,1.0,2.0,cluster-1,cluster-2,1.158408557472195
40,1.0,5.0,cluster-2,cluster-1,0.8573994771316091
41,1.0,3.0,cluster-0,cluster-4,0.1258802965618843
42,1.0,2.0,cluster-2,cluster-0,1.1030624411058703
43,1.0,1.0,cluster-1,cluster-2,0.16608276858563387
44,1.0,1.0,cluster-1,cluster-2,1.1531778348672757
45,1.0,2.0,cluster-4,cluster-3,0.5325057026551939
46,2.0,1.0,cluster-4,cluster-0,0.20726695165868383
47,4.0,2.0,cluster-2,cluster-0,0.1263756024566736
48,1.0,2.0,cluster-2,cluster-3,0.18832886188742892
49,1.0,1.0,cluster-1,cluster-4,1.6926075160436604
50,2.0,2.0,cluster-1,cluster-4,1.2256008727556835
51,2.0,1.0,cluster-2,cluster-4,1.0131650462394468
52,1.0,1.0,cluster-4,cluster-4,1.838138044143136
53,3.0,3.0,cluster-2,cluster-4,0.14851582587592144
54,3.0,4.0,cluster-1,cluster-2,0.6770616147997591
55,6.0,2.0,cluster-1,cluster-0,1.782946621335851
56,1.0,2.0,cluster-2,cluster-3,0.45983313403430753
57,2.0,2.0,cluster-1,cluster-4,0.8778258678727645
58,1.0,1.0,cluster-1,cluster-4,1.6680722286852252
59,1.0,3.0,cluster-1,cluster-1,0.5996053016824487
60,2.0,3.0,cluster-4,cluster-1,0.6087509947728332
61,4.0,3.0,cluster-2,cluster-4,0.7750201026062602
62,1.0,4.0,cluster-0,cluster-2,0.5885514004230644
63,1.0,2.0,cluster-4,cluster-3,1.3632875784339773
64,1.0,4.0,cluster-2,cluster-4,0.505326922765194
65,3.0,3.0,cluster-1,cluster-1,0.9662177381057775
66,4.0,2.0,cluster-2,cluster-1,0.1793507479308818
67,1.0,1.0,cluster-2,cluster-4,1.347833430295274
68,1.0,2.0,cluster-2,cluster-3,0.14463582962216232
69,3.0,4.0,cluster-0,cluster-0,1.3924135775532194
70,1.0,2.0,cluster-2,cluster-3,0.22142271737252614
71,3.0,2.0,cluster-0,cluster-0,0.10557148008925082
72,1.0,2.0,cluster-2,cluster-2,0.06711674904125596
73,3.0,1.0,cluster-2,cluster-0,0.030487475600057864
74,7.0,5.0,cluster-0,cluster-3,0.5932270289171193
75,3.0,14.0,cluster-4,cluster-0,0.1753977219809797
76,2.0,3.0,cluster-2,cluster-2,1.4372780694542457
77,4.0,2.0,cluster-0,cluster-0,0.22985084300587025
78,1.0,7.0,cluster-1,cluster-4,1.6792750091007638
79,1.0,2.0,cluster-0,cluster-0,0.5986575692183855
80,1.0,3.0,cluster-1,cluster-1,0.26343616430037137
81,1.0,1.0,cluster-2,cluster-4,0.6508122460389144
82,1.0,1.0,cluster-1,cluster-1,0.1406505239244067
83,4.0,4.0,cluster-2,cluster-2,0.1321456538811898
84,8.0,2.0,cluster-2,cluster-0,1.125327189424201
85,5.0,3.0,cluster-4,cluster-0,0.6482099553621907
86,1.0,1.0,cluster-2,cluster-4,1.4916999028114903
87,1.0,1.0,cluster-2,cluster-4,0.3602608478378324
88,1.0,8.0,cluster-1,cluster-4,1.6032292769986396
89,1.0,1.0,cluster-2,cluster-4,1.7202989826069985
90,1.0,4.0,cluster-2,cluster-1,0.1619984472884733
91,1.0,1.0,cluster-1,cluster-1,0.40815453146899855
92,6.0,1.0,cluster-2,cluster-3,0.25513690583031157
93,1.0,3.0,cluster-2,cluster-4,1.7973668494937376
94,1.0,1.0,cluster-2,cluster-4,1.4275076589042723
95,4.0,1.0,cluster-1,cluster-2,0.6465343888658353
96,1.0,1.0,cluster-2,cluster-4,1.3982839110552354
97,2.0,5.0,cluster-4,cluster-4,1.0475210204027354
98,1.0,3.0,cluster-2,cluster-1,0.8700097416818139
99,2.0,2.0,cluster-4,cluster-3,0.7812179738829029
100,1.0,1.0,cluster-1,cluster-0,1.6883925327369527
101,3.0,4.0,cluster-4,cluster-1,1.3454255578677028
102,1.0,1.0,cluster-2,cluster-2,0.49423827750070237
103,1.0,1.0,cluster-1,cluster-1,0.38418559710546946
104,2.0,2.0,cluster-2,cluster-2,0.35317587184045524
105,1.0,1.0,cluster-2,cluster-1,1.7857911256537937
106,5.0,2.0,cluster-2,cluster-0,0.9374896792504009
107,1.0,2.0,cluster-1,cluster-0,0.9385708758541613
108,1.0,5.0,cluster-2,cluster-3,1.200917076392265
109,1.0,5.0,cluster-1,cluster-4,1.7049466292989326
110,1.0,6.0,cluster-2,cluster-3,1.8226789616962025
111,2.0,2.0,cluster-2,cluster-3,0.7205401717953431
112,5.0,1.0,cluster-4,cluster-2,1.5707686499735765
113,1.0,1.0,cluster-2,cluster-4,1.5375552824352723
114,5.0,2.0,cluster-3,cluster-4,1.225773692817987
115,1.0,2.0,cluster-2,cluster-4,1.1361369517758977
116,4.0,5.0,cluster-2,cluster-3,1.5393181368183844
117,1.0,2.0,cluster-2,cluster-4,1.6152428239708911
118,2.0,5.0,cluster-4,cluster-4,1.495411234546079
119,1.0,1.0,cluster-2,cluster-4,0.7639448249641494
120,1.0,2.0,cluster-2,cluster-3,1.533003279893878
121,1.0,4.0,cluster-2,cluster-4,1.0290146650639185
122,1.0,2.0,cluster-2,cluster-3,1.304812553234825
123,4.0,3.0,cluster-4,cluster-0,0.6559353330186586
124,3.0,4.0,cluster-0,cluster-4,0.8117438222686475
125,1.0,2.0,cluster-2,cluster-4,0.15783494167732265
126,1.0,1.0,cluster-4,cluster-4,1.7747293187760225
127,1.0,1.0,cluster-2,cluster-2,1.6447712979817675
128,6.0,1.0,cluster-1,cluster-4,0.9872279360450421
129,1.0,2.0,cluster-2,cluster-4,0.021484713983812864
130,2.0,2.0,cluster-4,cluster-0,1.0318581775197337
131,4.0,1.0,cluster-0,cluster-1,0.13313500102737155
132,1.0,1.0,cluster-4,cluster-4,1.0591514312950665
133,1.0,1.0,cluster-2,cluster-4,1.4299416737672526
134,1.0,1.0,cluster-2,cluster-1,1.1343377845163682
135,2.0,2.0,cluster-1,cluster-2,1.1285057726996697
136,1.0,1.0,cluster-2,cluster-0,0.44868406218635515
137,3.0,2.0,cluster-1,cluster-1,1.2250214108246338
138,1.0,2.0,cluster-1,cluster-4,1.0033921226168876
139,4.0,2.0,cluster-1,cluster-4,0.08466552650131513
140,1.0,2.0,cluster-1,cluster-1,0.7656419820989016
141,1.0,2.0,cluster-2,cluster-3,1.0350808089223404
142,1.0,1.0,cluster-1,cluster-2,0.20719778528456692
143,3.0,2.0,cluster-2,cluster-0,0.1674370973327707
144,1.0,2.0,cluster-1,cluster-1,1.4668074303686864
145,1.0,2.0,cluster-1,cluster-1,1.2436556719844176
146,4.0,2.0,cluster-1,cluster-1,0.8413528672217279
147,3.0,1.0,cluster-1,cluster-4,1.2056835135721422
148,4.0,1.0,cluster-2,cluster-4,0.9313585423503666
149,1.0,3.0,cluster-0,cluster-3,1.7177018095500056
150,1.0,1.0,cluster-2,cluster-0,1.8171773745323154
151,1.0,1.0,cluster-4,cluster-4,1.6766086384613434
152,2.0,3.0,cluster-2,cluster-1,0.12499950316764655
153,1.0,1.0,cluster-4,cluster-4,0.9775684347928204
154,1.0,1.0,cluster-2,cluster-2,0.226437740463279
155,2.0,2.0,cluster-2,cluster-2,0.5685631387414606
156,1.0,3.0,cluster-2,cluster-1,0.8003295074639267
157,1.0,2.0,cluster-1,cluster-0,1.159469795103936
158,1.0,1.0,cluster-2,cluster-4,0.1536287282489115
159,4.0,1.0,cluster-4,cluster-1,1.5531268221085828
160,1.0,5.0,cluster-0,cluster-0,1.8488450132454597
161,1.0,1.0,cluster-2,cluster-0,1.8124577960998183
162,1.0,1.0,cluster-2,cluster-2,1.4829719312723093
163,1.0,1.0,cluster-2,cluster-1,0.435126240332827
164,1.0,5.0,cluster-0,cluster-4,1.4652063922370677
165,1.0,1.0,cluster-1,cluster-0,0.8461743330038614
166,1.0,2.0,cluster-2,cluster-4,1.2646954911145327
167,2.0,2.0,cluster-2,cluster-1,0.024742723957721525
168,1.0,2.0,cluster-2,cluster-2,1.8749940164988483
169,1.0,1.0,cluster-1,cluster-4,0.34043884400737
170,1.0,1.0,cluster-4,cluster-4,0.8246673365902888
171,1.0,3.0,cluster-0,cluster-4,0.6253240948705484
172,1.0,3.0,cluster-1,cluster-3,1.3948930140483446
173,3.0,5.0,cluster-2,cluster-2,1.2363810223764395
174,1.0,1.0,cluster-0,cluster-3,0.7447644904233038
175,1.0,1.0,cluster-1,cluster-1,1.3665806272060375
176,1.0,2.0,cluster-2,cluster-3,1.6467090564561673
177,1.0,2.0,cluster-0,cluster-0,0.6031111971574667
178,2.0,2.0,cluster-1,cluster-1,0.37961661860969576
179,3.0,3.0,cluster-4,cluster-3,0.4787410294562363
180,1.0,1.0,cluster-0,cluster-1,1.5043130975207228
181,3.0,4.0,cluster-1,cluster-1,0.41188205797923344
182,11.0,1.0,cluster-0,cluster-4,0.27890449450870747
183,4.0,4.0,cluster-4,cluster-4,0.24989327593543167
184,1.0,3.0,cluster-2,cluster-4,0.9860755433927697
185,4.0,3.0,cluster-0,cluster-4,1.6420227826341305
186,3.0,2.0,cluster-4,cluster-3,0.6140186543388213
187,3.0,1.0,cluster-0,cluster-4,0.4605140119405913
188,7.0,1.0,cluster-1,cluster-4,1.7270426557525855
189,4.0,3.0,cluster-0,cluster-0,0.8070464960562024
190,1.0,1.0,cluster-1,cluster-4,0.41560845386708006
191,1.0,2.0,cluster-2,cluster-2,1.582154797339591
192,3.0,2.0,cluster-2,cluster-3,0.45546316616972404
193,1.0,2.0,cluster-2,cluster-3,0.4999256863414555
194,2.0,2.0,cluster-4,cluster-4,0.8082840221880552
195,4.0,1.0,cluster-1,cluster-4,1.1608999460574838
196,2.0,2.0,cluster-1,cluster-1,1.0558097640111175
197,1.0,1.0,cluster-1,cluster-1,0.503501057264709
198,1.0,8.0,cluster-3,cluster-2,1.6531667126738068
199,1.0,2.0,cluster-2,cluster-3,1.532025155084687
